sample_name	file_bam	condition
F210I_WT_1	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_WT_1/F210I_WT_1_unique.bam	CONTROL
F210I_WT_2	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_WT_2/F210I_WT_2_unique.bam	CONTROL
F210I_WT_3	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_WT_3/F210I_WT_3_unique.bam	CONTROL
F210I_WT_4	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_WT_4/F210I_WT_4_unique.bam	CONTROL
F210I_WT_5	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_WT_5/F210I_WT_5_unique.bam	CONTROL
F210I_HET_1	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_HET_1/F210I_HET_1_unique.bam	HET
F210I_HET_2	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_HET_2/F210I_HET_2_unique.bam	HET
F210I_HET_3	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_HET_3/F210I_HET_3_unique.bam	HET
F210I_HET_4	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_HET_4/F210I_HET_4_unique.bam	HET
F210I_HET_5	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_HET_5/F210I_HET_5_unique.bam	HET
F210I_HET_6	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_HET_6/F210I_HET_6_unique.bam	HET
F210I_HET_7	/SAN/vyplab/IoN_RNAseq/F210I/New_adult_brain/F210I_adult/processed_xs/F210I_HET_7/F210I_HET_7_unique.bam	HET
